LI,269.69,25
PY,269.731,657
LI,269.793,24
LI,269.896,24
LI,269.896,24
PY,269.923,657
PY,270.035,657
PY,270.131,659
PY,270.131,659
LI,270.206,28
PY,270.227,657
LI,270.309,27
PY,270.323,659
PY,270.435,657
PY,270.435,657
LI,270.515,27
PY,270.532,659
PY,270.628,654
PY,270.628,654
LI,270.721,28
PY,270.74,654
PY,270.835,659
PY,270.835,659
PY,270.931,657
PY,270.931,657
LI,271.031,19
LI,271.031,19
LI,271.134,27
PY,271.14,657
LI,271.237,19
LI,271.237,19
LI,271.34,28
LI,271.34,28
PY,271.444,654
PY,271.444,654
LI,271.547,28
LI,271.547,28
PY,271.637,657
LI,271.65,28
LI,271.753,23
LI,271.753,23
PY,271.845,654
LI,271.856,24
PY,271.94,654
LI,271.959,25
PY,272.036,657
LI,272.063,27
PY,272.148,657
LI,272.166,20
PY,272.244,654
LI,272.269,20
PY,272.341,654
LI,272.372,29
PY,272.437,657
PY,272.549,654
LI,272.578,24
PY,272.645,654
LI,272.682,28
PY,272.74,657
LI,272.785,25
PY,272.852,657
LI,272.888,24
PY,272.948,654
LI,272.991,24
PY,273.045,657
LI,273.094,27
PY,273.141,657
LI,273.197,23
PY,273.253,657
LI,273.301,23
PY,273.349,659
LI,273.404,24
PY,273.445,657
PY,273.557,657
LI,273.61,25
PY,273.652,654
PY,273.749,657
PY,273.749,657
LI,273.92,25
LI,273.92,25
PY,273.957,654
PY,274.053,657
PY,274.053,657
LI,274.126,27
PY,274.149,654
LI,274.229,25
PY,274.261,657
LI,274.332,25
LI,274.435,24
LI,274.539,23
PY,274.549,657
LI,274.642,25
PY,274.662,654
PY,274.757,657
PY,274.757,657
LI,274.848,34
PY,274.853,657
LI,274.951,25
PY,274.965,654
PY,275.061,654
PY,275.061,654
PY,275.158,657
PY,275.158,657
LI,275.261,22
PY,275.27,657
PY,275.462,654
LI,275.57,23
LI,275.57,23
LI,275.673,25
LI,275.673,25
PY,275.766,657
LI,275.777,23
LI,275.88,23
PY,275.974,659
LI,275.983,27
LI,276.086,24
LI,276.086,24
PY,276.166,657
LI,276.189,25
PY,276.262,657
PY,276.374,654
PY,276.374,654
LI,276.396,19
PY,276.471,654
LI,276.499,27
PY,276.566,657
LI,276.602,22
LI,276.705,25
PY,276.774,654
LI,276.808,23
PY,276.87,654
LI,276.911,28
PY,276.966,654
PY,277.078,654
PY,277.175,657
PY,277.175,657
LI,277.221,24
PY,277.271,657
LI,277.324,27
PY,277.383,654
LI,277.427,23
LI,277.53,27
PY,277.574,654
LI,277.634,25
PY,277.671,654
LI,277.737,24
PY,277.782,654
LI,277.84,29
PY,277.879,657
LI,277.943,25
PY,277.975,659
LI,278.046,25
PY,278.087,654
LI,278.149,20
PY,278.183,654
LI,278.252,22
PY,278.279,657
PY,278.376,657
PY,278.376,657
LI,278.459,25
LI,278.562,28
PY,278.583,662
PY,278.679,662
PY,278.679,662
LI,278.768,27
PY,278.791,659
LI,278.871,23
PY,278.887,657
LI,278.975,24
PY,278.983,657
PY,279.08,662
PY,279.08,662
LI,279.181,30
PY,279.191,657
PY,279.496,654
PY,279.496,654
PY,279.591,657
LI,279.594,27
LI,279.697,27
LI,279.697,27
PY,279.784,654
LI,279.8,27
PY,279.895,657
LI,279.903,24
PY,279.992,654
LI,280.006,28
PY,280.088,654
LI,280.109,25
PY,280.2,654
LI,280.316,27
LI,280.316,27
PY,280.391,659
LI,280.419,25
LI,280.522,24
PY,280.599,654
LI,280.728,23
PY,280.792,657
LI,280.832,27
LI,280.935,30
PY,281,657
LI,281.038,24
PY,281.096,657
LI,281.141,27
PY,281.208,659
LI,281.244,22
PY,281.303,657
LI,281.347,28
PY,281.496,659
LI,281.554,25
PY,281.608,654
LI,281.657,28
PY,281.704,657
LI,281.76,20
PY,281.8,657
LI,281.863,28
PY,281.897,659
LI,281.966,24
LI,282.07,24
PY,282.105,659
LI,282.173,28
PY,282.2,657
LI,282.276,24
LI,282.379,24
PY,282.408,657
LI,282.482,23
PY,282.504,667
LI,282.585,27
PY,282.616,654
LI,282.689,25
PY,282.712,659
PY,282.809,657
PY,282.809,657
PY,282.905,659
PY,282.905,659
PY,283.017,657
LI,283.101,27
PY,283.208,657
PY,283.208,657
LI,283.308,25
PY,283.32,657
LI,283.514,28
LI,283.514,28
LI,283.617,28
LI,283.617,28
PY,283.721,657
PY,283.721,657
LI,283.823,25
LI,283.823,25
PY,283.913,659
LI,283.927,19
LI,284.03,27
LI,284.03,27
LI,284.133,28
LI,284.133,28
PY,284.217,659
LI,284.236,22
PY,284.313,657
LI,284.339,23
PY,284.425,657
PY,284.521,657
PY,284.617,657
PY,284.617,657
LI,284.649,25
PY,284.729,654
LI,284.752,28
PY,284.825,657
LI,284.855,27
PY,284.922,654
PY,285.017,654
PY,285.017,654
LI,285.061,25
PY,285.13,657
LI,285.165,29
PY,285.225,654
LI,285.268,24
PY,285.321,657
LI,285.371,23
PY,285.433,654
LI,285.474,24
PY,285.529,654
LI,285.577,25
LI,285.68,29
LI,285.68,29
PY,285.722,659
LI,285.784,27
PY,285.834,659
LI,285.887,28
PY,285.93,654
LI,285.99,20
PY,286.025,654
LI,286.093,25
PY,286.137,654
LI,286.196,27
PY,286.233,657
LI,286.299,27
PY,286.33,657
LI,286.402,27
PY,286.426,657
LI,286.506,22
PY,286.538,657
LI,286.609,25
PY,286.634,662
LI,286.712,22
PY,286.73,654
LI,286.815,28
PY,286.842,662
LI,286.918,27
LI,287.021,29
PY,287.034,657
LI,287.228,28
PY,287.242,657
PY,287.338,657
PY,287.338,657
LI,287.434,29
LI,287.434,29
PY,287.546,657
PY,287.546,657
PY,287.642,657
PY,287.642,657
LI,287.744,24
LI,287.744,24
PY,287.834,659
LI,287.847,25
LI,287.95,25
